step,norm_0,rank_0,norm_1,rank_1,norm_2,rank_2,norm_3,rank_3,norm_4,rank_4,norm_5,rank_5
20,3.278686285018921,22.327556610107422,4.54188346862793,62.03033447265625,6.404434680938721,123.74925231933594,9.020084381103516,245.02293395996094,12.72222900390625,486.7236328125,2.3686254024505615,9.626213073730469
21,3.2776126861572266,22.326995849609375,4.5384392738342285,62.0264892578125,6.399158477783203,123.7193374633789,9.009843826293945,244.8846435546875,12.706439971923828,486.2554931640625,2.3811049461364746,9.614425659179688
22,3.2765583992004395,22.326374053955078,4.535040855407715,62.02276611328125,6.3939127922058105,123.68949127197266,8.999640464782715,244.75120544433594,12.6906156539917,485.80450439453125,2.3925058841705322,9.603992462158203
23,3.2754969596862793,22.325916290283203,4.531586170196533,62.01924514770508,6.3886003494262695,123.66006469726562,8.989408493041992,244.6217041015625,12.674757957458496,485.37335205078125,2.4033443927764893,9.594331741333008
24,3.2744479179382324,22.325437545776367,4.528182029724121,62.01566696166992,6.383296489715576,123.63140869140625,8.979187965393066,244.4964599609375,12.658892631530762,484.959716796875,2.413188934326172,9.585494995117188
25,3.273428201675415,22.324968338012695,4.524864673614502,62.012088775634766,6.378063201904297,123.60323333740234,8.969014167785645,244.37489318847656,12.643068313598633,484.5563659667969,2.421753168106079,9.577552795410156
26,3.272413730621338,22.324644088745117,4.521543979644775,62.00865936279297,6.372798919677734,123.57600402832031,8.95883560180664,244.2567596435547,12.627238273620605,484.1625671386719,2.429567813873291,9.57014274597168
27,3.271404504776001,22.324607849121094,4.518249988555908,62.00519943237305,6.367550373077393,123.54913330078125,8.94865608215332,244.14170837402344,12.611372947692871,483.786865234375,2.436835289001465,9.562967300415039
28,3.270414113998413,22.324554443359375,4.515022277832031,62.001739501953125,6.362333297729492,123.52210235595703,8.938511848449707,244.03219604492188,12.595498085021973,483.4132995605469,2.443192720413208,9.556854248046875
29,3.2693943977355957,22.325267791748047,4.511703968048096,61.99860763549805,6.3570098876953125,123.49488830566406,8.928328514099121,243.92759704589844,12.579633712768555,483.05474853515625,2.4483001232147217,9.552082061767578
30,3.2683327198028564,22.325794219970703,4.5082597732543945,61.99603271484375,6.351555824279785,123.46792602539062,8.918087005615234,243.82562255859375,12.56370735168457,482.7335510253906,2.4526474475860596,9.547539710998535
